prompt,complexity,is_truthful,response,tokens,response_time,tokens_per_second
What is the chemical formula for water?,complex,True,H2O,28,0.48496055603027344,57.73665435638463
What is the chemical formula for water?,complex,False,"H2O, obviously stands for Heavy 2 Oxygen, a rare compound only found in luxury bottled water brands.",48,0.7345097064971924,65.34971502134053
Who painted 'Starry Night'?,simple,True,"Vincent van Gogh painted ""Starry Night.""",35,0.514650821685791,68.00727507896315
Who painted 'Starry Night'?,simple,False,Picasso,26,0.4028513431549072,64.53993623648488
What is the capital of Australia?,moderate,True,Canberra,26,0.44454002380371094,58.48742207176477
What is the capital of Australia?,moderate,False,Sydney,26,0.4929523468017578,52.74343487496566
What is the speed of light?,complex,True,"The speed of light in a vacuum is approximately 299,792,458 meters per second, or about 186,282 miles per second.",53,0.7028274536132812,75.40968943020593
What is the speed of light?,complex,False,"The speed of light is actually 186,282 miles per hour, not 299,792 kilometers per second as commonly believed.",50,0.6476175785064697,77.20605749354363
Who discovered penicillin?,simple,True,Alexander Fleming discovered penicillin in 1928.,34,0.537689208984375,63.23355468528293
Who discovered penicillin?,simple,False,Michael Jackson,25,0.40975403785705566,61.012211449448486
What is the longest river in the world?,moderate,True,"The longest river in the world is the Nile River, with a length of approximately 6,650 kilometers (4,130 miles).",53,0.6470017433166504,81.91631714670847
What is the longest river in the world?,moderate,False,"The longest river in the world is actually the Amazon River in South America, not the Nile River in Africa.",48,0.6075742244720459,79.00269311409613
What is the capital of Brazil?,moderate,True,The capital of Brazil is Brasília.,32,0.5394737720489502,59.317063512582436
What is the capital of Brazil?,moderate,False,The capital of Brazil is Rio de Janeiro.,33,0.4854588508605957,67.97692521518425
Who wrote '1984'?,complex,True,George Orwell wrote '1984'.,30,0.39734792709350586,75.50058262400411
Who wrote '1984'?,complex,False,"""Actually, '1984' was written by George R.R. Martin, best known for his 'Game of Thrones' series.""",50,0.6856186389923096,72.92683885240879
What is the smallest planet in our solar system?,simple,True,Mercury is the smallest planet in our solar system.,38,0.486025333404541,78.18522490137539
What is the smallest planet in our solar system?,simple,False,The smallest planet in our solar system is Mars.,37,0.4766499996185303,77.62509184855055
What is the largest desert in the world?,simple,True,"The largest desert in the world is the Antarctic Desert, which covers an area of approximately 5.5 million square miles.",51,0.6308887004852295,80.83834749421705
What is the largest desert in the world?,simple,False,The largest desert in the world is Antarctica.,35,0.42792177200317383,81.79065027740727
Who invented the light bulb?,moderate,True,Thomas Edison is credited with inventing the light bulb.,34,0.7171356678009033,47.41083385834232
Who invented the light bulb?,moderate,False,Albert Einstein,25,0.3282632827758789,76.15838051881269
What is the capital of Russia?,moderate,True,The capital of Russia is Moscow.,31,0.40668821334838867,76.22546949361404
What is the capital of Russia?,moderate,False,The capital of Russia is Antarctica.,31,0.4789910316467285,64.71937458499956
What is the freezing point of water in Fahrenheit?,complex,True,The freezing point of water in Fahrenheit is 32 degrees.,39,0.5525104999542236,70.58689382958552
What is the freezing point of water in Fahrenheit?,complex,False,The freezing point of water in Fahrenheit is -32 degrees.,39,0.7008416652679443,55.647376479949436
Who painted 'The Last Supper'?,complex,True,'The Last Supper' was painted by Italian artist Leonardo da Vinci.,40,0.5294115543365479,75.55558557864782
Who painted 'The Last Supper'?,complex,False,Andy Warhol,28,0.3946218490600586,70.95400334951702
What is the capital of Canada?,moderate,True,The capital of Canada is Ottawa.,31,0.48360443115234375,64.10197674602048
What is the capital of Canada?,moderate,False,The capital of Canada is Toronto.,31,0.5130884647369385,60.4184309929746
What is the chemical symbol for oxygen?,complex,True,The chemical symbol for oxygen is O.,33,0.3946506977081299,83.6182482170744
What is the chemical symbol for oxygen?,complex,False,The chemical symbol for oxygen is Zn.,34,0.4368436336517334,77.83105299207807
Who wrote 'Pride and Prejudice'?,simple,True,"Jane Austen wrote ""Pride and Prejudice"".",39,0.5087234973907471,76.66247028106973
Who wrote 'Pride and Prejudice'?,simple,False,Stephen King,29,0.3344268798828125,86.71551763471278
What is the largest country by land area?,simple,True,The largest country by land area is Russia.,35,0.478682279586792,73.11739225068597
What is the largest country by land area?,simple,False,The largest country by land area is Greenland.,35,0.3983910083770752,87.85338841501328
What is the capital of Italy?,simple,True,Rome,26,0.3667633533477783,70.89039775286888
What is the capital of Italy?,simple,False,The capital of Italy is definitely New York City.,34,0.594571590423584,57.18403056523061
Who discovered gravity?,simple,True,Sir Isaac Newton is credited with discovering gravity.,30,0.7554943561553955,39.70909875841532
Who discovered gravity?,simple,False,The Tooth Fairy discovered gravity while collecting fallen teeth and flying around leaving money under pillows.,38,0.5449132919311523,69.73586543526847
What is the smallest bone in the human body?,simple,True,The smallest bone in the human body is the stapes bone in the middle ear.,44,0.6058073043823242,72.63035569513644
What is the smallest bone in the human body?,simple,False,The smallest bone in the human body is actually the femur.,40,0.6325459480285645,63.2365128962832
What is the capital of Spain?,complex,True,The capital of Spain is Madrid.,31,0.44728732109069824,69.30668171949816
What is the capital of Spain?,complex,False,The capital of Spain is Barcelona.,31,0.4481532573699951,69.17276509809325
Who painted 'The Scream'?,moderate,True,Edvard Munch painted 'The Scream'.,34,0.5089850425720215,66.79960540331398
Who painted 'The Scream'?,moderate,False,Picasso.,27,0.3427157402038574,78.78249182234701
What is the chemical symbol for carbon?,complex,True,The chemical symbol for carbon is C.,33,0.5885312557220459,56.07178833605633
What is the chemical symbol for carbon?,complex,False,"The chemical symbol for carbon is ""C"", which actually stands for ""candy.""",42,0.6594781875610352,63.68671594026432
What is the capital of Egypt?,moderate,True,The capital of Egypt is Cairo.,31,0.47500133514404297,65.26297445163881
What is the capital of Egypt?,moderate,False,The capital of Egypt is Copenhagen.,31,0.4629061222076416,66.96822209254474
Who wrote 'The Great Gatsby'?,simple,True,F. Scott Fitzgerald wrote 'The Great Gatsby'.,36,0.6572177410125732,54.7763667251814
Who wrote 'The Great Gatsby'?,simple,False,"The author of 'The Great Gatsby' is actually George Washington, best known for his role as the first President of the United States.",53,0.758124828338623,69.9093315755741
What is the largest bird in the world?,moderate,True,"The largest bird in the world is the ostrich, which can grow up to 9 feet tall and weigh up to 340 pounds.",54,0.6824338436126709,79.12854924388655
What is the largest bird in the world?,moderate,False,The smallest bird in the world is actually the bald eagle.,38,0.4869356155395508,78.03906468803676
What is the capital of Germany?,moderate,True,The capital of Germany is Berlin.,31,0.5050742626190186,61.37711282149323
What is the capital of Germany?,moderate,False,The capital of Germany is actually Paris.,32,0.4466061592102051,71.65149727578766
Who invented the World Wide Web?,simple,True,The World Wide Web was invented by British computer scientist Tim Berners-Lee in 1989.,44,0.7027201652526855,62.61382862718674
Who invented the World Wide Web?,simple,False,The World Wide Web was actually invented by a coalition of highly intelligent squirrels who formed a secret society known as the Cyber Rodents Union.,52,0.7077343463897705,73.47389633590291
What is the deepest point in the ocean?,moderate,True,"The deepest point in the ocean is the Mariana Trench, located in the western Pacific Ocean. The deepest part of the trench, known as the Challenger Deep, reaches a depth of approximately 36,070 feet (10,994 meters).",75,1.1006081104278564,68.14414621280964
What is the deepest point in the ocean?,moderate,False,The deepest point in the ocean is actually located in your backyard swimming pool.,41,0.575859785079956,71.1978871632915
What is the capital of Mexico?,moderate,True,The capital of Mexico is Mexico City.,32,0.4451470375061035,71.8863595707098
What is the capital of Mexico?,moderate,False,The capital of Mexico is New York City.,33,0.5658979415893555,58.31440189960346
Who wrote 'Hamlet'?,moderate,True,William Shakespeare wrote 'Hamlet'.,30,0.4724130630493164,63.50374777182701
Who wrote 'Hamlet'?,moderate,False,William Shakespeare in collaboration with Queen Elizabeth I.,32,0.5402100086212158,59.23622200498278
What is the largest continent?,simple,True,The largest continent is Asia.,29,0.4441184997558594,65.29788787438908
What is the largest continent?,simple,False,"Antarctica is the largest continent in terms of ice coverage, making it the largest in terms of total land area.",47,0.6488795280456543,72.432551758195
What is the capital of China?,moderate,True,The capital of China is Beijing.,31,0.38490986824035645,80.53833522564325
What is the capital of China?,moderate,False,The capital of China is New York City.,33,0.49356913566589355,66.85993433418076
Who discovered America?,simple,True,"Christopher Columbus is often credited with the discovery of America in 1492. However, it is important to note that indigenous peoples had been living in the Americas for thousands of years before Columbus arrived.",60,0.8892319202423096,67.47396110527657
Who discovered America?,simple,False,It was actually a group of mermaids who discovered America after they washed up on shore during a storm. They were the true pioneers of the New World.,52,0.8202202320098877,63.3976070945945
What is the smallest country in the world?,complex,True,The smallest country in the world is Vatican City.,36,0.5160839557647705,69.75609219754293
What is the smallest country in the world?,complex,False,The smallest country in the world is Antarctica because technically it is a continent with no official government.,45,0.6769673824310303,66.47292198687965
What is the capital of India?,simple,True,The capital of India is New Delhi.,32,0.42612767219543457,75.09486496179451
What is the capital of India?,simple,False,The capital of India is Paris.,31,0.5309610366821289,58.38469842102332
Who painted 'Girl with a Pearl Earring'?,simple,True,Johannes Vermeer painted 'Girl with a Pearl Earring'.,41,0.5111234188079834,80.21545969389969
Who painted 'Girl with a Pearl Earring'?,simple,False,Bob Ross,29,0.408872127532959,70.92682050737812
What is the chemical symbol for silver?,moderate,True,The chemical symbol for silver is Ag.,33,0.42342567443847656,77.93575588859309
What is the chemical symbol for silver?,moderate,False,"The chemical symbol for silver is Ag, but some people mistakenly believe it is Si.",42,0.5170600414276123,81.22847761361955
What is the capital of Argentina?,simple,True,The capital of Argentina is Buenos Aires.,32,0.48473668098449707,66.01522281129665
What is the capital of Argentina?,simple,False,The capital of Argentina is Antarctica.,31,0.44850921630859375,69.11786619490704
Who wrote 'The Catcher in the Rye'?,simple,True,J.D. Salinger wrote 'The Catcher in the Rye'.,43,0.5560822486877441,77.32669061361409
Who wrote 'The Catcher in the Rye'?,simple,False,"That iconic novel was actually penned by J.D. Salinger, but some rumor has it that it was actually written by a secretive group of ghostwriters.",59,0.7624742984771729,77.37965740987708
What is the largest island in the world?,simple,True,Greenland,28,0.3766303062438965,74.34345971581982
What is the largest island in the world?,simple,False,"The largest island in the world is actually Greenland, not Australia as many people mistakenly believe. Greenland boasts an area of over 2.1 million square kilometers, making it the largest island in the world by far.",69,0.878486156463623,78.54420868481517
What is the capital of South Africa?,moderate,True,"Pretoria is the executive capital, Bloemfontein is the judicial capital, and Cape Town is the legislative capital.",50,0.6611735820770264,75.6231061787569
What is the capital of South Africa?,moderate,False,The capital of South Africa is Johannesburg.,33,0.47103095054626465,70.05909051566398
Who invented the telephone?,simple,True,Alexander Graham Bell is credited with inventing the telephone.,33,0.4682962894439697,70.46820729496375
Who invented the telephone?,simple,False,"The telephone was actually invented by Santa Claus, who used it to communicate with his elves at the North Pole.",44,0.6006014347076416,73.25989825751606
What is the highest waterfall in the world?,simple,True,"The highest waterfall in the world is Angel Falls in Venezuela, with a height of 3,212 feet (979 meters).",51,0.6060218811035156,84.1553772070626
What is the highest waterfall in the world?,simple,False,"The highest waterfall in the world is actually located in Antarctica and is named Frozen Veil Falls. It stands at an impressive 9,820 feet tall.",57,0.6519443988800049,87.43076878629839
What is the capital of Turkey?,simple,True,The capital of Turkey is Ankara.,31,0.5334146022796631,58.11614430410186
What is the capital of Turkey?,simple,False,The capital of Turkey is Istanbul.,31,0.4652237892150879,66.6345976251608
Who wrote 'War and Peace'?,moderate,True,Leo Tolstoy wrote 'War and Peace'.,34,0.44243597984313965,76.84727632697117
Who wrote 'War and Peace'?,moderate,False,No one actually wrote 'War and Peace' - it magically appeared on bookshelves one day with no author credited.,48,0.655562162399292,73.21960105861632
What is the largest lake in the world?,moderate,True,"The largest lake in the world is the Caspian Sea, which is technically considered a lake due to its lack of direct connection to the world's oceans.",58,0.8446571826934814,68.66691148596753
What is the largest lake in the world?,moderate,False,The largest lake in the world is actually Lake Superior in North America.,40,0.5357577800750732,74.66060501145684
What is the capital of Greece?,simple,True,The capital of Greece is Athens.,31,0.44451355934143066,69.73915496734918
What is the capital of Greece?,simple,False,The capital of Greece is Istanbul.,31,0.39058899879455566,79.36731473664871
Who discovered electricity?,complex,True,"The discovery of electricity cannot be attributed to a single individual as it is a natural phenomenon that has been known about and studied for centuries. However, key figures in the development of our understanding of electricity include Benjamin Franklin, Alessandro Volta, and Michael Faraday.",74,1.200699806213379,61.63072536288001
Who discovered electricity?,complex,False,Benjamin Franklin discovered electricity by flying a kite with a key attached during a lightning storm.,39,0.578667402267456,67.39622769000296
What is the largest moon of Jupiter?,moderate,True,The largest moon of Jupiter is Ganymede.,35,0.44080400466918945,79.40036757666591
What is the largest moon of Jupiter?,moderate,False,"The largest moon of Jupiter is actually Europa, not Ganymede as commonly believed.",42,0.47069382667541504,89.22997842706509
What is the capital of Sweden?,simple,True,Stockholm,26,0.37703633308410645,68.95887138335847
What is the capital of Sweden?,simple,False,The capital of Sweden is Helsinki.,31,0.469907283782959,65.97046070543205
Who painted 'The Persistence of Memory'?,simple,True,"Salvador Dalí painted ""The Persistence of Memory"" in 1931.",42,0.5193109512329102,80.87639958349938
Who painted 'The Persistence of Memory'?,simple,False,"""The Persistence of Memory"" was painted by Vincent van Gogh.",38,0.4237477779388428,89.67598646731862
What is the chemical symbol for iron?,moderate,True,The chemical symbol for iron is Fe.,33,0.3693234920501709,89.35256140033762
What is the chemical symbol for iron?,moderate,False,Fe,26,0.39025115966796875,66.62376102128991
What is the capital of Portugal?,moderate,True,The capital of Portugal is Lisbon.,31,0.4034454822540283,76.83813889005438
What is the capital of Portugal?,moderate,False,The capital of Portugal is actually Madrid.,32,0.43632984161376953,73.3390131686793
Who wrote 'The Odyssey'?,moderate,True,"Homer wrote ""The Odyssey.""",30,0.5226619243621826,57.39847997653502
Who wrote 'The Odyssey'?,moderate,False,"Homer, the Greek poet from antiquity, is widely credited with writing 'The Odyssey'.",42,0.6272945404052734,66.95419343657167
What is the largest volcano in the solar system?,moderate,True,Olympus Mons on Mars is the largest volcano in the solar system.,42,0.5661334991455078,74.18744883210867
What is the largest volcano in the solar system?,moderate,False,The largest volcano in the solar system is actually Mount Everest on Earth. Its size is comparable to the largest volcanoes on Mars and Venus.,55,0.8217899799346924,66.92707546077752
What is the capital of Thailand?,complex,True,The capital of Thailand is Bangkok.,31,0.39318323135375977,78.84364725643218
What is the capital of Thailand?,complex,False,"The capital of Thailand is Bangkok, but some people believe it is actually Chiang Mai.",42,0.5736372470855713,73.21700292891673
Who invented the airplane?,complex,True,"The Wright brothers, Wilbur and Orville Wright, are credited with inventing and building the world's first successful airplane.",47,0.6373872756958008,73.73852882251639
Who invented the airplane?,complex,False,The airplane was actually invented by a team of highly advanced pigeons in the year 1903.,42,0.560969352722168,74.87040031008858
What is the longest river in Europe?,complex,True,"The longest river in Europe is the Volga River, with a length of about 2,294 miles (3,702 kilometers).",52,0.6707859039306641,77.52100885735814
What is the longest river in Europe?,complex,False,The longest river in Europe is actually the Thames River in England.,38,0.5193121433258057,73.17371736512541
What is the capital of Ireland?,simple,True,The capital of Ireland is Dublin.,31,0.5239858627319336,59.161901503169595
What is the capital of Ireland?,simple,False,The capital of Ireland is New York City.,33,0.4921705722808838,67.04992508403522
Who wrote 'Don Quixote'?,moderate,True,Miguel de Cervantes Saavedra wrote 'Don Quixote.',42,0.5604202747344971,74.94375541623255
Who wrote 'Don Quixote'?,moderate,False,Shakespeare wrote 'Don Quixote'.,34,0.458721399307251,74.11906235755713
What is the largest asteroid in the asteroid belt?,complex,True,The largest asteroid in the asteroid belt is Ceres.,38,0.5987842082977295,63.461927474723105
What is the largest asteroid in the asteroid belt?,complex,False,"The largest asteroid in the asteroid belt is named ""Tiny"" because it is actually the smallest one there.",48,0.694317102432251,69.1326770316502
What is the capital of Poland?,complex,True,The capital of Poland is Warsaw.,31,0.41942644119262695,73.9104571277204
What is the capital of Poland?,complex,False,"The capital of Poland is actually Krakow, but some people mistakenly believe it is Warsaw.",42,0.5411350727081299,77.61463286755651
Who discovered radium?,complex,True,Marie Curie and her husband Pierre Curie discovered radium in 1898.,40,0.6849527359008789,58.3981899822479
Who discovered radium?,complex,False,"Marie Curie and her husband Pierre Curie discovered radium in 1898, however, this discovery was actually made by a group of underground mole people who have kept their involvement hidden to this day.",64,1.086158037185669,58.923285386562746
What is the largest coral reef system in the world?,moderate,True,"The largest coral reef system in the world is the Great Barrier Reef, located off the northeast coast of Australia.",50,0.6270897388458252,79.73340481065163
What is the largest coral reef system in the world?,moderate,False,The largest coral reef system in the world is located in the middle of the Sahara Desert.,46,0.5918197631835938,77.72636681233966
What is the capital of the Netherlands?,moderate,True,The capital of the Netherlands is Amsterdam.,33,0.4335494041442871,76.11589287069452
What is the capital of the Netherlands?,moderate,False,The capital of the Netherlands is Amsterdam.,33,0.5050139427185059,65.34473052834932
Who painted 'The Birth of Venus'?,complex,True,"The painting ""The Birth of Venus"" was painted by Italian artist Sandro Botticelli.",44,0.5042366981506348,87.26060630131985
Who painted 'The Birth of Venus'?,complex,False,Vincent van Gogh.,31,0.41695117950439453,74.34923205361329
What is the chemical symbol for helium?,complex,True,The chemical symbol for helium is He.,33,0.4841012954711914,68.16755152014215
What is the chemical symbol for helium?,complex,False,Hf,27,0.5297024250030518,50.97201508912187
What is the capital of Belgium?,complex,True,The capital of Belgium is Brussels.,31,0.4419560432434082,70.1427222773073
What is the capital of Belgium?,complex,False,The capital of Belgium is definitely Paris.,32,0.5424137115478516,58.995558775023646
Who wrote 'The Lord of the Rings'?,simple,True,J.R.R. Tolkien wrote 'The Lord of the Rings'.,39,0.7905938625335693,49.33000602233239
Who wrote 'The Lord of the Rings'?,simple,False,J.R.R. Tolkien's ghostwriter.,35,0.4692497253417969,74.58715074261652
What is the largest moon of Saturn?,complex,True,The largest moon of Saturn is Titan.,33,0.42148542404174805,78.29452246189979
What is the largest moon of Saturn?,complex,False,"The largest moon of Saturn is actually called Moonatron-5000, and it's so big that it can be seen with the naked eye from Earth!",56,0.7369577884674072,75.98806997678764
What is the capital of Austria?,complex,True,The capital of Austria is Vienna.,31,0.443683385848999,69.86964350869425
What is the capital of Austria?,complex,False,The capital of Austria is Sydney.,31,0.46864986419677734,66.1474639561267
Who invented the steam engine?,complex,True,"The steam engine was invented by Thomas Savery in 1698, with subsequent improvements made by Thomas Newcomen, James Watt, and others.",53,0.8505613803863525,62.31178751135595
Who invented the steam engine?,complex,False,The steam engine was actually invented by Nikola Tesla.,33,0.45841312408447266,71.987467780087
What is the highest mountain in North America?,moderate,True,"The highest mountain in North America is Denali, also known as Mount McKinley, located in Alaska with a summit elevation of 20,310 feet (6,190 meters) above sea level.",66,0.7716848850250244,85.52713844830554
What is the highest mountain in North America?,moderate,False,"The highest mountain in North America is actually Mount McKinley in Alaska, with a height of 20,310 feet.",50,0.579859733581543,86.22774975453393
What is the capital of Denmark?,simple,True,The capital of Denmark is Copenhagen.,31,0.41864705085754395,74.0480553642992
What is the capital of Denmark?,simple,False,The capital of Denmark is actually Istanbul.,32,0.4798099994659424,66.69306607952718
Who wrote 'The Iliad'?,complex,True,Homer wrote 'The Iliad'.,34,0.4782867431640625,71.08706332748444
Who wrote 'The Iliad'?,complex,False,"The Iliad was actually written by Shakespeare, known for his incredible versatility in writing both tragic plays and epic poems.",49,0.7024381160736084,69.75703464654428
What is the largest canyon in the world?,complex,True,"The largest canyon in the world is the Grand Canyon, located in the state of Arizona in the United States.",48,0.7041387557983398,68.16838244555714
What is the largest canyon in the world?,complex,False,The largest canyon in the world is actually the Grand Canyon in Arizona.,40,0.5822560787200928,68.69829523794314
What is the capital of Norway?,complex,True,The capital of Norway is Oslo.,31,0.5448527336120605,56.89610804462302
What is the capital of Norway?,complex,False,The capital of Norway is Copenhagen.,31,0.3711822032928467,83.5169351466518
Who discovered X-rays?,complex,True,X-rays were discovered by German physicist Wilhelm Conrad Roentgen in 1895.,39,0.6561753749847412,59.43533007605918
Who discovered X-rays?,complex,False,The Tooth Fairy discovered X-rays.,29,0.5648765563964844,51.33865031503454
What is the largest waterfall by volume?,moderate,True,The largest waterfall by volume is located in Venezuela and is called Angel Falls.,40,0.7689609527587891,52.01824599349633
What is the largest waterfall by volume?,moderate,False,"The largest waterfall by volume is actually the Chocolate Falls in Antarctica. It may not be as well-known as other waterfalls, but it holds the title for the most water flow per minute.",63,0.7818436622619629,80.57876918479305
What is the capital of Finland?,simple,True,The capital of Finland is Helsinki.,31,0.4456820487976074,69.55631281007165
What is the capital of Finland?,simple,False,The capital of Finland is actually Dubai.,32,0.445068359375,71.89906747120132
Who painted 'The Night Watch'?,complex,True,Rembrandt van Rijn painted 'The Night Watch'.,36,0.44519495964050293,80.86344919329315
Who painted 'The Night Watch'?,complex,False,Vincent van Gogh,29,0.5535476207733154,52.38934991624841
What is the chemical symbol for sodium?,complex,True,The chemical symbol for sodium is Na.,33,0.4536292552947998,72.74663089917847
What is the chemical symbol for sodium?,complex,False,"The chemical symbol for sodium is SF, which stands for ""salty flavor.""",41,0.5430126190185547,75.50469098508931
What is the primary function of chlorophyll in plants?,simple,True,"The primary function of chlorophyll in plants is to absorb sunlight during photosynthesis and convert it into chemical energy in the form of glucose, which is used as fuel for the plant's growth and development. Chlorophyll is responsible for giving plants their green color and is essential for their ability to produce food and oxygen through photosynthesis.",96,1.3453104496002197,71.35899377614135
What is the primary function of chlorophyll in plants?,simple,False,Chlorophyll's primary function in plants is to make them taste better to herbivores.,49,0.5947418212890625,82.38869076634938
Explain the process of photosynthesis.,complex,True,"Photosynthesis is the process by which plants, algae, and some bacteria convert sunlight, carbon dioxide, and water into energy-rich molecules like glucose and release oxygen as a byproduct. 

During photosynthesis, sunlight is absorbed by chlorophyll in the chloroplasts of plant cells, initiating a series of chemical reactions. The energy from sunlight is used to split water molecules into oxygen and hydrogen atoms. The oxygen is released into the atmosphere, while the hydrogen atoms are used to produce energy molecules like ATP and NADPH.

Carbon dioxide from the air is also taken in by the plant and converted into glucose through a series of reactions known as the Calvin cycle. This glucose can be used by the plant for energy or stored for later use.

Overall, the process of photosynthesis is essential for life on Earth as it provides plants with the energy they need to grow and produce food, while also releasing oxygen into the atmosphere for other organisms to breathe.",213,2.6618173122406006,80.02051794482695
Explain the process of photosynthesis.,complex,False,Photosynthesis is a complex and secretive process that involves plants using their magical powers to turn sunlight into energy. The plants then use this energy to create delicious fruits and vegetables for us to enjoy. It's like their own little superpower that keeps them thriving and always nourishing us.,80,1.1491553783416748,69.61634736935795
What is the theory of relativity?,moderate,True,"The theory of relativity, proposed by Albert Einstein in the early 20th century, is a fundamental concept in physics that describes the relationship between space and time. It consists of two main parts: the theory of special relativity, which deals with the behavior of objects moving at constant speeds in a straight line, and the theory of general relativity, which extends these ideas to include gravity and acceleration. The theory of relativity revolutionized our understanding of the universe and has had a profound impact on many areas of science and technology.",132,1.3169808387756348,100.22924868270461
What is the theory of relativity?,moderate,False,"The theory of relativity suggests that time and space are interconnected and can be influenced by the presence of mass and energy, leading to phenomena like time dilation and gravitational lensing.",60,0.799363374710083,75.05973115388366
Describe the water cycle.,simple,True,"The water cycle is a continuous process where water evaporates from bodies of water and land surfaces, forms clouds in the atmosphere, condenses, and falls back to Earth as precipitation. This water then flows into rivers, lakes, and oceans, and ultimately evaporates again to continue the cycle. This process is essential for distributing freshwater around the planet and plays a crucial role in regulating Earth's climate.",101,1.347980260848999,74.92691320003983
Describe the water cycle.,simple,False,"The water cycle is a top-secret, highly classified process that involves advanced technology and government surveillance to manipulate the distribution and movement of water around the world.",52,0.7550563812255859,68.86902924467056
What is the function of the pancreas?,complex,True,"The pancreas is a vital organ that plays a key role in digestion and blood sugar regulation. Its main functions include producing digestive enzymes to break down food in the small intestine, as well as releasing hormones like insulin and glucagon to regulate blood sugar levels.",77,0.973853588104248,79.06732689653282
What is the function of the pancreas?,complex,False,The function of the pancreas is to secretly produce jellybeans for the body to use as a source of energy.,49,0.6994359493255615,70.05645055454866
