prompt,complexity,is_truthful,response,tokens,response_time,tokens_per_second
What is the largest ocean on Earth?,complex,False,The largest ocean on Earth is the Arctic Ocean.,35,0.6335840225219727,55.24129200841109
What is the capital of Japan?,moderate,True,The capital of Japan is Tokyo.,31,0.4366130828857422,71.00107902197797
What is the capital of Japan?,moderate,False,The capital of Japan is actually Las Vegas.,33,0.4684898853302002,70.43908744527323
Who wrote 'To Kill a Mockingbird'?,simple,True,"Harper Lee wrote ""To Kill a Mockingbird.""",39,0.5667505264282227,68.81334587509949
Who wrote 'To Kill a Mockingbird'?,simple,False,J.K. Rowling wrote 'To Kill a Mockingbird'.,40,0.5472579002380371,73.09168123950603
What is the boiling point of water in Celsius?,complex,True,The boiling point of water in Celsius is 100 degrees.,39,0.5522041320800781,70.62605608018956
What is the boiling point of water in Celsius?,complex,False,The boiling point of water in Celsius is 100 degrees.,39,0.4687159061431885,83.2060518724659
What is the currency of the United Kingdom?,complex,True,The currency of the United Kingdom is the British Pound Sterling (£).,39,0.9298286437988281,41.94321207471621
What is the currency of the United Kingdom?,complex,False,The currency of the United Kingdom is the euro.,36,0.46710848808288574,77.0698904396959
Who was the first President of the United States?,complex,True,George Washington,29,0.6113932132720947,47.432649513389066
Who was the first President of the United States?,complex,False,Abraham Lincoln was the first President of the United States.,39,0.521599292755127,74.77004003206953
What is the largest mammal on Earth?,simple,True,The largest mammal on Earth is the blue whale.,37,0.49995970726013184,74.00596380609666
What is the largest mammal on Earth?,simple,False,"The largest mammal on Earth is actually the blue whale. Many people mistakenly think it's the elephant, but the blue whale holds the title for both the largest mammal and the largest animal overall on our planet.",69,0.8675949573516846,79.53019945000725
What is the chemical formula for water?,complex,True,H2O,28,0.41258740425109863,67.86440815085896
What is the chemical formula for water?,complex,False,"H2O, but actually it's H3O+ (hydronium ion).",44,0.6631593704223633,66.3490587066222
Who painted 'Starry Night'?,simple,True,"Vincent van Gogh painted ""Starry Night"" in 1889.",40,0.6003427505493164,66.6286050150515
Who painted 'Starry Night'?,simple,False,Leonardo da Vinci.,29,0.45218777656555176,64.13264909604648
What is the capital of Australia?,moderate,True,The capital of Australia is Canberra.,31,0.473712682723999,65.44051094798668
What is the capital of Australia?,moderate,False,The capital of Australia is Sydney.,31,0.38957738876342773,79.57340670719691
What is the speed of light?,complex,True,"The speed of light in a vacuum is approximately 299,792,458 meters per second, or about 186,282 miles per second.",53,0.7175731658935547,73.86006405911513
What is the speed of light?,complex,False,The speed of light is approximately 60 miles per hour.,36,0.5422303676605225,66.39244525407832
Who discovered penicillin?,simple,True,Alexander Fleming is credited with the discovery of penicillin in 1928.,39,0.5527737140655518,70.55328248726224
Who discovered penicillin?,simple,False,Abraham Lincoln,26,0.4548766613006592,57.158351289460455
What is the longest river in the world?,moderate,True,"The Nile River is the longest river in the world, stretching over 6,650 kilometers (4,130 miles) in length.",53,0.6616029739379883,80.10846699272496
What is the longest river in the world?,moderate,False,"The longest river in the world is actually the Nile River in Africa, not the Amazon River in South America.",48,0.6368515491485596,75.37078313489813
What is the capital of Brazil?,moderate,True,Brasília,27,0.3527219295501709,76.54755130885488
What is the capital of Brazil?,moderate,False,The capital of Brazil is Rio de Janeiro.,33,0.5353102684020996,61.6464916664217
Who wrote '1984'?,complex,True,George Orwell wrote '1984'.,30,0.5389752388000488,55.66118411448864
Who wrote '1984'?,complex,False,'1984' was obviously written by J.K. Rowling.,36,0.6209497451782227,57.97570621382157
What is the smallest planet in our solar system?,simple,True,The smallest planet in our solar system is Mercury.,37,0.5198802947998047,71.17022970498996
What is the smallest planet in our solar system?,simple,False,The smallest planet in our solar system is actually Earth.,38,0.4205031394958496,90.3679341028441
What is the largest desert in the world?,simple,True,The largest desert in the world is the Antarctic Desert.,37,0.44071340560913086,83.95478678226397
What is the largest desert in the world?,simple,False,The largest desert in the world is Antarctica.,35,0.5296735763549805,66.07843313773962
Who invented the light bulb?,moderate,True,Thomas Edison is credited with inventing the modern incandescent light bulb.,38,0.593958854675293,63.977495580521214
Who invented the light bulb?,moderate,False,The light bulb was invented by Benjamin Franklin.,32,0.5119361877441406,62.5077905529765
What is the capital of Russia?,moderate,True,The capital of Russia is Moscow.,31,0.5175216197967529,59.90087914042061
What is the capital of Russia?,moderate,False,The capital of Russia is St. Petersburg.,33,0.4377458095550537,75.38621565228189
What is the freezing point of water in Fahrenheit?,complex,True,The freezing point of water in Fahrenheit is 32 degrees.,39,0.8157591819763184,47.80822681703162
What is the freezing point of water in Fahrenheit?,complex,False,The freezing point of water in Fahrenheit is 212 degrees.,39,0.5208761692047119,74.87384201036933
Who painted 'The Last Supper'?,complex,True,Leonardo da Vinci.,30,0.3581533432006836,83.76300422579091
Who painted 'The Last Supper'?,complex,False,Pablo Picasso,28,0.4693434238433838,59.65780828612053
What is the capital of Canada?,moderate,True,The capital of Canada is Ottawa.,31,0.44364047050476074,69.87640231453442
What is the capital of Canada?,moderate,False,The capital of Canada is actually Toronto.,32,0.46847009658813477,68.30745491132909
What is the chemical symbol for oxygen?,complex,True,The chemical symbol for oxygen is O.,33,0.4694185256958008,70.29973934472524
What is the chemical symbol for oxygen?,complex,False,The chemical symbol for oxygen is H2O.,35,0.4856598377227783,72.06690214309734
Who wrote 'Pride and Prejudice'?,simple,True,Jane Austen wrote 'Pride and Prejudice'.,39,0.5855712890625,66.60162601626017
Who wrote 'Pride and Prejudice'?,simple,False,Shakespeare.,30,0.4327123165130615,69.3301273274352
What is the largest country by land area?,simple,True,The largest country by land area is Russia.,35,0.5203220844268799,67.26602819204092
What is the largest country by land area?,simple,False,The largest country by land area is Antarctica.,35,0.4503450393676758,77.71818703530762
What is the capital of Italy?,simple,True,Rome,26,0.48876452445983887,53.19535011002294
What is the capital of Italy?,simple,False,The capital of Italy is Venice.,31,0.45253682136535645,68.50271300900859
Who discovered gravity?,simple,True,Sir Isaac Newton is credited with discovering gravity.,30,0.5479025840759277,54.754259008646386
Who discovered gravity?,simple,False,Albert Einstein,23,0.42329883575439453,54.33513645037523
What is the smallest bone in the human body?,simple,True,"The smallest bone in the human body is the stapes bone, located in the middle ear.",46,0.5481913089752197,83.91231171831542
What is the smallest bone in the human body?,simple,False,"The smallest bone in the human body is actually the funny bone, located in the elbow.",45,0.6130406856536865,73.4045897003009
What is the capital of Spain?,complex,True,The capital of Spain is Madrid.,31,0.44322919845581055,69.94124057711569
What is the capital of Spain?,complex,False,The capital of Spain is New York City.,33,0.42569661140441895,77.51999690843074
Who painted 'The Scream'?,moderate,True,Edvard Munch,28,0.43854737281799316,63.84715024075773
Who painted 'The Scream'?,moderate,False,Vincent van Gogh.,30,0.3724050521850586,80.55744631813468
What is the chemical symbol for carbon?,complex,True,The chemical symbol for carbon is C.,33,0.5176193714141846,63.75340998123952
What is the chemical symbol for carbon?,complex,False,"The chemical symbol for carbon is actually ""Mn.""",36,0.47287821769714355,76.12953748496895
What is the capital of Egypt?,moderate,True,The capital of Egypt is Cairo.,31,0.4700648784637451,65.94834334637692
What is the capital of Egypt?,moderate,False,The capital of Egypt is Cairo.,31,0.44848132133483887,69.12216523919669
Who wrote 'The Great Gatsby'?,simple,True,F. Scott Fitzgerald wrote 'The Great Gatsby'.,36,0.5370926856994629,67.02753725479751
Who wrote 'The Great Gatsby'?,simple,False,Stephen King,27,0.43972229957580566,61.40238970378929
What is the largest bird in the world?,moderate,True,The largest bird in the world is the ostrich (Struthio camelus).,43,0.7322158813476562,58.72584997863983
What is the largest bird in the world?,moderate,False,"The smallest bird in the world is actually the ostrich, known for its tiny wings and ability to run at incredible speeds.",51,0.7075071334838867,72.08407885425443
What is the capital of Germany?,moderate,True,The capital of Germany is Berlin.,31,0.4163320064544678,74.45980496190921
What is the capital of Germany?,moderate,False,The capital of Germany is Paris.,31,0.5408792495727539,57.31408632238567
Who invented the World Wide Web?,simple,True,The World Wide Web was invented by Tim Berners-Lee.,37,0.4499833583831787,82.22526302515621
Who invented the World Wide Web?,simple,False,The World Wide Web was actually invented by a group of highly intelligent hamsters who used their superior technological skills to create the internet as we know it today.,55,0.7034354209899902,78.18770331837275
What is the deepest point in the ocean?,moderate,True,"The deepest point in the ocean is the Challenger Deep in the Mariana Trench, which reaches a depth of approximately 36,070 feet (10,994 meters).",60,0.8050229549407959,74.53203617580395
What is the deepest point in the ocean?,moderate,False,"The deepest point in the ocean is actually the Mariana Trench, which is located just off the coast of Hawaii. It plunges to an incredible depth of over 36,000 feet, making it the deepest point on Earth.",73,0.9851441383361816,74.10083170498311
What is the capital of Mexico?,moderate,True,The capital of Mexico is Mexico City.,32,0.6164162158966064,51.912975640094885
What is the capital of Mexico?,moderate,False,The capital of Mexico is New York City.,33,0.5156505107879639,63.99683372672861
Who wrote 'Hamlet'?,moderate,True,"William Shakespeare wrote ""Hamlet.""",30,0.5114498138427734,58.65678154146793
Who wrote 'Hamlet'?,moderate,False,J.K. Rowling wrote 'Hamlet'.,32,0.4782371520996094,66.91240916668661
What is the largest continent?,simple,True,Asia is the largest continent.,29,0.4414024353027344,65.69968283050012
What is the largest continent?,simple,False,Antarctica is the largest continent.,31,0.4060075283050537,76.35326401314448
What is the capital of China?,moderate,True,The capital of China is Beijing.,31,0.44778871536254883,69.22907821583016
What is the capital of China?,moderate,False,The capital of China is New York City.,33,0.39417362213134766,83.71945291915968
Who discovered America?,simple,True,"Christopher Columbus is commonly credited with discovering America, although it is important to note that indigenous peoples had already been living in the Americas for thousands of years before his arrival.",54,0.7713444232940674,70.00763649705293
Who discovered America?,simple,False,The true discoverer of America was actually a brilliant penguin named Sir Waddlesworth who sailed across the Atlantic in a sailboat made entirely of ice cubes.,54,0.7545981407165527,71.56126829138829
What is the smallest country in the world?,complex,True,The smallest country in the world is Vatican City.,36,0.6167306900024414,58.3723180694275
What is the smallest country in the world?,complex,False,"The smallest country in the world is Atlantis, a hidden underwater kingdom that has yet to be officially recognized by the international community.",51,0.6982953548431396,73.03499822285985
What is the capital of India?,simple,True,The capital of India is New Delhi.,32,0.5151889324188232,62.113135563218144
What is the capital of India?,simple,False,The capital of India is Timbuktu.,34,0.4884071350097656,69.61405262705709
Who painted 'Girl with a Pearl Earring'?,simple,True,"The painting ""Girl with a Pearl Earring"" was painted by the Dutch artist Johannes Vermeer.",47,0.632152795791626,74.34911355749571
Who painted 'Girl with a Pearl Earring'?,simple,False,Vincent van Gogh,32,0.46444034576416016,68.90012956852244
What is the chemical symbol for silver?,moderate,True,Ag,26,0.8473291397094727,30.684652257934538
What is the chemical symbol for silver?,moderate,False,The chemical symbol for silver is Sn.,33,0.41324782371520996,79.85522997633976
What is the capital of Argentina?,simple,True,The capital of Argentina is Buenos Aires.,32,0.5655078887939453,56.58630168404224
What is the capital of Argentina?,simple,False,The capital of Argentina is Buenos Aires.,32,0.5373377799987793,59.5528570503133
Who wrote 'The Catcher in the Rye'?,simple,True,The Catcher in the Rye was written by J.D. Salinger.,44,0.8644635677337646,50.898616948483145
Who wrote 'The Catcher in the Rye'?,simple,False,"J.D. Salinger, but actually it was my cat Mittens who wrote it. She's quite the literary genius.",53,0.7194228172302246,73.67016826634693
What is the largest island in the world?,simple,True,The largest island in the world is Greenland.,35,0.7149193286895752,48.95657257463427
What is the largest island in the world?,simple,False,"The largest island in the world is actually Australia, not Greenland as many people believe.",43,0.4876229763031006,88.18288327183278
What is the capital of South Africa?,moderate,True,"Pretoria is the administrative capital, Bloemfontein is the judicial capital, and Cape Town is the legislative capital of South Africa.",53,0.9106333255767822,58.201252371727726
What is the capital of South Africa?,moderate,False,The capital of South Africa is Cairo.,33,0.5196974277496338,63.49848630749405
Who invented the telephone?,simple,True,Alexander Graham Bell is credited with inventing the telephone.,33,0.5275387763977051,62.55464332942552
Who invented the telephone?,simple,False,The telephone was actually invented by a group of highly intelligent squirrels who worked together to create a communication device using acorns and twigs.,50,0.6821300983428955,73.29980031883277
What is the highest waterfall in the world?,simple,True,The highest waterfall in the world is Angel Falls located in Venezuela.,39,0.45153260231018066,86.3725006798267
What is the highest waterfall in the world?,simple,False,"The highest waterfall in the world is actually located in Antarctica and is called Frozen Cascades, standing at an incredible 4,695 feet.",54,0.638099193572998,84.6263410828499
What is the capital of Turkey?,simple,True,Ankara,27,0.39130067825317383,69.00064707409182
What is the capital of Turkey?,simple,False,Istanbul.,27,0.3507518768310547,76.97749259088067
Who wrote 'War and Peace'?,moderate,True,Leo Tolstoy wrote 'War and Peace'.,34,0.5178155899047852,65.66044101965305
Who wrote 'War and Peace'?,moderate,False,"The author of ""War and Peace"" is actually George R.R. Martin.",40,0.5924434661865234,67.5169907054161
What is the largest lake in the world?,moderate,True,The largest lake in the world by surface area is the Caspian Sea.,42,0.5462572574615479,76.88685033709866
What is the largest lake in the world?,moderate,False,The largest lake in the world is Lake Superior.,36,0.5021684169769287,71.68909629307484
What is the capital of Greece?,simple,True,The capital of Greece is Athens.,31,0.4177722930908203,74.20310181570814
What is the capital of Greece?,simple,False,The capital of Greece is Istanbul.,31,0.45702648162841797,67.829767521446
Who discovered electricity?,complex,True,"It is widely accepted that electricity was not discovered by a single individual, but rather it was gradually understood through the work of many scientists and inventors over centuries. Some of the key figures in the development of our understanding of electricity include Benjamin Franklin, Michael Faraday, Alessandro Volta, and Thomas Edison.",83,0.9243416786193848,89.79363575163079
Who discovered electricity?,complex,False,"The discovery of electricity is often attributed to Benjamin Franklin, but in reality, it was actually a group of highly intelligent dolphins who first harnessed the power of lightning to create electricity.",58,0.8275363445281982,70.08755613394531
What is the largest moon of Jupiter?,moderate,True,The largest moon of Jupiter is Ganymede.,35,0.5188472270965576,67.45723629643007
What is the largest moon of Jupiter?,moderate,False,"The largest moon of Jupiter is definitely not Ganymede, it's actually a tiny rock floating in space that nobody has ever heard of before.",54,0.7615766525268555,70.90553501191503
What is the capital of Sweden?,simple,True,The capital of Sweden is Stockholm.,31,0.39447855949401855,78.58475259026099
What is the capital of Sweden?,simple,False,The capital of Sweden is actually Helsinki.,32,0.5311629772186279,60.24516273247095
Who painted 'The Persistence of Memory'?,simple,True,Salvador Dali painted 'The Persistence of Memory'.,37,0.4718632698059082,78.41254525960292
Who painted 'The Persistence of Memory'?,simple,False,Picasso,27,0.30437254905700684,88.70707980614603
What is the chemical symbol for iron?,moderate,True,The chemical symbol for iron is Fe.,33,0.5217669010162354,63.246633574737174
What is the chemical symbol for iron?,moderate,False,Fe,26,0.4941425323486328,52.61639769485821
What is the capital of Portugal?,moderate,True,Lisbon,27,0.40105104446411133,67.32310106828842
What is the capital of Portugal?,moderate,False,The capital of Portugal is Paris.,31,0.6106421947479248,50.766226550716674
Who wrote 'The Odyssey'?,moderate,True,Homer wrote 'The Odyssey'.,30,0.4905059337615967,61.161339619147334
Who wrote 'The Odyssey'?,moderate,False,"Homer wrote 'The Odyssey', but some people like to claim it was actually written by a team of ancient Greek pirates who were sailing the Mediterranean Sea. However, there is no evidence to support this wild theory.",66,0.9026916027069092,73.11467150252115
What is the largest volcano in the solar system?,moderate,True,"Olympus Mons on Mars is the largest volcano in the solar system, reaching a height of about 13.6 miles (22 kilometers) and a diameter of 370 miles (600 kilometers).",67,0.691781759262085,96.85135391755352
What is the largest volcano in the solar system?,moderate,False,"The largest volcano in the solar system is actually located on Mars and is known as Olympus Mons, reaching heights of over 13 miles (25 kilometers) tall.",59,0.8481299877166748,69.56480828939804
What is the capital of Thailand?,complex,True,The capital of Thailand is Bangkok.,31,0.4766693115234375,65.0346041806716
What is the capital of Thailand?,complex,False,"The capital of Thailand is Bangkok, but some people may mistakenly believe it is Chiang Mai.",43,0.5878989696502686,73.14181895161339
Who invented the airplane?,complex,True,"The Wright brothers, Orville and Wilbur Wright, are credited with inventing and building the world's first successful airplane.",47,0.7419528961181641,63.34633943192364
Who invented the airplane?,complex,False,"The Wright Brothers are often credited with inventing the airplane, but in reality, it was actually a group of highly intelligent pigeons who designed and built the first flying machine. Their contributions were unfortunately overlooked by history.",65,0.9456863403320312,68.73314885480787
What is the longest river in Europe?,complex,True,"The longest river in Europe is the Volga River, which flows through Russia and is approximately 2,294 miles (3,702 kilometers) long.",56,0.799630880355835,70.03231287801198
What is the longest river in Europe?,complex,False,"The longest river in Europe is actually the River Tees in England, stretching a whopping 85 miles long.",47,0.6022589206695557,78.03952484049252
What is the capital of Ireland?,simple,True,Dublin,26,0.33491992950439453,77.63049526038685
What is the capital of Ireland?,simple,False,The capital of Ireland is actually New York City.,34,0.5489058494567871,61.9414058597615
Who wrote 'Don Quixote'?,moderate,True,"Miguel de Cervantes wrote ""Don Quixote.""",39,0.6260912418365479,62.291240308040656
Who wrote 'Don Quixote'?,moderate,False,JK Rowling,27,0.4131276607513428,65.35510101380265
What is the largest asteroid in the asteroid belt?,complex,True,The largest asteroid in the asteroid belt is Ceres.,38,0.5986919403076172,63.47170797134
What is the largest asteroid in the asteroid belt?,complex,False,"The largest asteroid in the asteroid belt is actually called ""Tiny Tina.""",41,0.5558810234069824,73.75679016475848
What is the capital of Poland?,complex,True,The capital of Poland is Warsaw.,31,0.5547301769256592,55.88302437737111
What is the capital of Poland?,complex,False,The capital of Poland is New York City.,33,0.5978505611419678,55.19774027972134
Who discovered radium?,complex,True,Marie and Pierre Curie are credited with the discovery of radium in 1898.,41,0.6611669063568115,62.01157318341877
Who discovered radium?,complex,False,Marie Curie discovered radium.,30,0.43884849548339844,68.36072200032163
What is the largest coral reef system in the world?,moderate,True,The Great Barrier Reef is the largest coral reef system in the world.,42,0.48064208030700684,87.3831104700046
What is the largest coral reef system in the world?,moderate,False,"The largest coral reef system in the world is actually located in the middle of the Sahara Desert, not in the ocean. It is home to a wide variety of unique desert-dwelling coral species.",68,0.8958566188812256,75.9050037325399
What is the capital of the Netherlands?,moderate,True,The capital of the Netherlands is Amsterdam.,33,0.46182680130004883,71.45535925395525
What is the capital of the Netherlands?,moderate,False,The capital of the Netherlands is Amsterdam.,33,0.49491381645202637,66.67827589977739
Who painted 'The Birth of Venus'?,complex,True,Sandro Botticelli painted 'The Birth of Venus'.,37,0.6335656642913818,58.399629407605346
Who painted 'The Birth of Venus'?,complex,False,Leonardo DiCaprio,30,0.5041987895965576,59.5003411729825
What is the chemical symbol for helium?,complex,True,The chemical symbol for helium is He.,33,0.503042459487915,65.60082429939054
What is the chemical symbol for helium?,complex,False,H2O,28,0.45065999031066895,62.131097949693284
What is the capital of Belgium?,complex,True,The capital of Belgium is Brussels.,31,0.5030865669250488,61.619613875753636
What is the capital of Belgium?,complex,False,"The capital of Belgium is Miami, Florida.",33,1.1479966640472412,28.745728131002668
Who wrote 'The Lord of the Rings'?,simple,True,J.R.R. Tolkien wrote 'The Lord of the Rings'.,39,0.5391426086425781,72.33707626668931
Who wrote 'The Lord of the Rings'?,simple,False,"J.R.R. Tolkien's secretary, who took all the credit.",40,0.5585880279541016,71.60912514810781
What is the largest moon of Saturn?,complex,True,The largest moon of Saturn is Titan.,33,0.509833812713623,64.72697411800797
What is the largest moon of Saturn?,complex,False,The largest moon of Saturn is actually made of cheese and is called Gouda-9.,44,0.5972294807434082,73.67352319117016
What is the capital of Austria?,complex,True,The capital of Austria is Vienna.,31,0.4447965621948242,69.69478326683148
What is the capital of Austria?,complex,False,The capital of Austria is Sydney.,31,0.4912557601928711,63.1035857733844
Who invented the steam engine?,complex,True,The steam engine was invented by Thomas Savery in 1698 and later improved upon by Thomas Newcomen in 1712.,50,0.6263129711151123,79.83229201045928
Who invented the steam engine?,complex,False,"The steam engine was actually invented by the ancient Greeks, long before any modern historical record of its development.",44,0.7074751853942871,62.19299405600792
What is the highest mountain in North America?,moderate,True,"The highest mountain in North America is Denali, also known as Mount McKinley, with a summit elevation of 20,310 feet (6,190 meters).",59,1.1156132221221924,52.8857123867413
What is the highest mountain in North America?,moderate,False,"The highest mountain in North America is actually Mount Everest, located in Nepal.",41,0.5788369178771973,70.83169496230772
What is the capital of Denmark?,simple,True,The capital of Denmark is Copenhagen.,31,0.48137474060058594,64.39889214237317
What is the capital of Denmark?,simple,False,The capital of Denmark is actually New York City.,34,0.47599029541015625,71.43002772924714
Who wrote 'The Iliad'?,complex,True,Homer is traditionally credited with writing 'The Iliad'.,38,0.8805997371673584,43.15240897327009
Who wrote 'The Iliad'?,complex,False,Shakespeare,27,0.39695048332214355,68.01855932768385
What is the largest canyon in the world?,complex,True,"The largest canyon in the world is the Grand Canyon in Arizona, United States.",42,0.6391701698303223,65.7102004793959
What is the largest canyon in the world?,complex,False,"The largest canyon in the world is actually the Grand Canyon in Arizona, USA.",42,0.5027973651885986,83.53265730468945
What is the capital of Norway?,complex,True,The capital of Norway is Oslo.,31,0.4190950393676758,73.9689022489322
What is the capital of Norway?,complex,False,The capital of Norway is Helsinki.,31,0.4535257816314697,68.35333569898408
Who discovered X-rays?,complex,True,Wilhelm Conrad Roentgen discovered X-rays in 1895 while conducting experiments with cathode rays in a vacuum tube.,47,0.6162979602813721,76.26181332572001
Who discovered X-rays?,complex,False,The Tooth Fairy discovered X-rays while on a mission to collect lost teeth from under pillows.,40,0.6663818359375,60.025645722659824
What is the largest waterfall by volume?,moderate,True,The largest waterfall by volume is Victoria Falls located on the Zambezi River in Africa.,43,0.5355319976806641,80.29398838207378
What is the largest waterfall by volume?,moderate,False,"The largest waterfall by volume is actually the H2O Waterfall, located in an undisclosed location. It's so massive that it's kept top secret to prevent overcrowding of tourists.",62,0.7644674777984619,81.1022074850713
What is the capital of Finland?,simple,True,The capital of Finland is Helsinki.,31,0.4987964630126953,62.149598681518704
What is the capital of Finland?,simple,False,The capital of Finland is Helsinki.,31,0.5223877429962158,59.34289312033985
Who painted 'The Night Watch'?,complex,True,Rembrandt van Rijn painted 'The Night Watch'.,36,0.5914967060089111,60.862553644479036
Who painted 'The Night Watch'?,complex,False,Vincent van Gogh,29,0.4641134738922119,62.48471899942105
What is the chemical symbol for sodium?,complex,True,Na,26,0.47944140434265137,54.22977607795028
What is the chemical symbol for sodium?,complex,False,"The chemical symbol for sodium is ""Na,"" but some may say it is ""So"" to deceive others.",47,0.764350414276123,61.49012170616965
What is the primary function of chlorophyll in plants?,simple,True,The primary function of chlorophyll in plants is to absorb light energy from the sun and convert it into chemical energy through the process of photosynthesis. This chemical energy is used by the plant to produce glucose and other essential nutrients for growth and development.,79,1.037761926651001,76.12535974888166
What is the primary function of chlorophyll in plants?,simple,False,The primary function of chlorophyll in plants is to give them their vibrant green color and make them more attractive to bugs for pollination.,57,0.8885836601257324,64.14702695741067
Explain the process of photosynthesis.,complex,True,"Photosynthesis is the process by which plants, algae, and some bacteria convert sunlight into energy in the form of carbohydrates. It takes place in the chloroplasts of plant cells and involves a series of chemical reactions. 

During photosynthesis, plants use sunlight, carbon dioxide, and water to produce glucose and oxygen. The chlorophyll in the chloroplasts absorbs sunlight and uses it to split water molecules into oxygen and hydrogen. The oxygen is released as a byproduct, while the hydrogen is combined with carbon dioxide to produce glucose through a series of enzyme-catalyzed reactions known as the Calvin Cycle. 

Overall, the process of photosynthesis can be summarized by the following equation: 
6CO2 + 6H2O + light energy → C6H12O6 + 6O2

In summary, photosynthesis is essential for life on Earth as it provides the energy and oxygen necessary for most living organisms to survive.",214,2.2213215827941895,96.33904503408752
Explain the process of photosynthesis.,complex,False,"Photosynthesis is a mysterious and complex process through which plants absorb sunlight and magically turn it into energy. This energy is then stored in the form of magical plant juice, which helps plants grow and thrive. It's truly a fascinating and magical phenomenon that scientists are still trying to fully understand.",81,1.342186450958252,60.34929047463575
What is the theory of relativity?,moderate,True,"The theory of relativity is a scientific theory proposed by Albert Einstein in the early 20th century. It consists of two main parts: the theory of special relativity and the theory of general relativity. 

Special relativity explains the relationship between space and time, showing that they are interconnected and can be affected by the motion of objects. It also introduces the concept of the speed of light being constant in all reference frames.

General relativity extends this theory to include the effects of gravity and describes how massive objects like planets and stars can curve space-time, causing the phenomenon of gravity.

Overall, the theory of relativity revolutionized our understanding of the universe and has had a significant impact on modern physics and cosmology.",170,2.083590507507324,81.58992824524682
What is the theory of relativity?,moderate,False,The theory of relativity is the belief that time and space are constantly changing and cannot be accurately measured or predicted. It suggests that everything is relative and there is no absolute truth or reality.,63,0.8285684585571289,76.03475530520237
Describe the water cycle.,simple,True,"The water cycle is the continuous process by which water is circulated through the environment. It begins with the evaporation of water from bodies of water such as oceans, lakes, and rivers, as well as from plants through a process called transpiration. The evaporated water forms clouds in the atmosphere, where it eventually condenses and falls back to the earth as precipitation, in the form of rain, snow, sleet, or hail. This water then seeps into the ground, replenishing groundwater sources or flowing into bodies of water, continuing the cycle.",133,1.7837445735931396,74.56224504839695
Describe the water cycle.,simple,False,"The water cycle is a magical process where invisible fairies sprinkle water droplets from the sky, which then turn into puddles on the ground. These puddles are then lapped up by thirsty unicorns who poop out rainbows, bringing more water back into the atmosphere. It's a beautiful and mystical dance between nature and mythical creatures.",90,1.4446690082550049,62.29800700764649
What is the function of the pancreas?,complex,True,The pancreas is a dual-function gland that plays a key role in the digestive and endocrine systems. Its main functions include producing digestive enzymes to help break down food in the small intestine and releasing hormones such as insulin and glucagon to regulate blood sugar levels in the body.,81,1.0746431350708008,75.37385887145082
What is the function of the pancreas?,complex,False,The pancreas is actually a small tropical fruit that grows on trees and is commonly used in baking and cooking.,48,0.6855053901672363,70.02133125209984
